date,forecast_demand,model
2025-01-01,6818,SARIMA
2025-01-02,6700,SARIMA
2025-01-03,6756,SARIMA
2025-01-04,8709,SARIMA
2025-01-05,8848,SARIMA
2025-01-06,6932,SARIMA
2025-01-07,6855,SARIMA
2025-01-08,6946,SARIMA
2025-01-09,6827,SARIMA
2025-01-10,6883,SARIMA
2025-01-11,8835,SARIMA
2025-01-12,8974,SARIMA
2025-01-13,7057,SARIMA
2025-01-14,6980,SARIMA
2025-01-15,7070,SARIMA
2025-01-16,6951,SARIMA
2025-01-17,7007,SARIMA
2025-01-18,8959,SARIMA
2025-01-19,9098,SARIMA
2025-01-20,7181,SARIMA
2025-01-21,7103,SARIMA
2025-01-22,7193,SARIMA
2025-01-23,7074,SARIMA
2025-01-24,7130,SARIMA
2025-01-25,9081,SARIMA
2025-01-26,9220,SARIMA
2025-01-27,7303,SARIMA
2025-01-28,7225,SARIMA
2025-01-29,7316,SARIMA
2025-01-30,7196,SARIMA
