date,forecast_demand
2025-01-01,4878
2025-01-02,4849
2025-01-03,4868
2025-01-04,5480
2025-01-05,6052
2025-01-06,4924
2025-01-07,4999
2025-01-08,4754
2025-01-09,4716
2025-01-10,4758
2025-01-11,5350
2025-01-12,5443
2025-01-13,4797
2025-01-14,4828
2025-01-15,4717
2025-01-16,4702
2025-01-17,4709
2025-01-18,5308
2025-01-19,5356
2025-01-20,4674
2025-01-21,4680
2025-01-22,4721
2025-01-23,4723
2025-01-24,4723
2025-01-25,5295
2025-01-26,5339
2025-01-27,4694
2025-01-28,4674
2025-01-29,4667
2025-01-30,4664
