store,product,average_daily_demand,demand_std,annual_demand,unit_price,lead_time_days,reorder_point_existing,current_stock,safety_stock,calculated_rop,holding_cost_per_unit,eoq,inventory_status,recommended_order_qty,shortage_to_rop,category,supplier,average_lead_time,on_time_rate,defect_rate,total_supplier_delays,total_ordered,total_received,fill_rate,on_time_percentage,defect_percentage,fill_percentage,risk_score,risk_level,average_30_day_forecast,total_30_day_forecast,priority
Store_Mumbai,RC Car,60,20,44064,55.0,9.0,169.0,0,100,642,11.0,2001,CRITICAL,2001,642,Toys,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,HIGH
Store_Bengaluru,Headphones,48,16,35325,150.0,10.0,136.0,0,82,565,30.0,1085,CRITICAL,1085,565,Electronics,Supplier_02,10.0,0.93,0.02,33,172946,170579,0.9863136470343344,93.0,2.0,98.63,6.21,LOW,4945,148342,HIGH
Store_Hyderabad,Water Bottle,52,17,38073,10.0,9.0,189.0,0,82,551,2.0,4363,CRITICAL,4363,551,Home & Kitchen,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,HIGH
Store_Mumbai,Instant Noodles,64,20,46505,3.0,7.0,184.0,0,85,530,0.6000000000000001,8804,CRITICAL,8804,530,Groceries,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,HIGH
Store_Bengaluru,Cricket Bat,44,15,32302,60.0,10.0,144.0,0,76,518,12.0,1641,CRITICAL,1641,518,Sports,Supplier_02,10.0,0.93,0.02,33,172946,170579,0.9863136470343344,93.0,2.0,98.63,6.21,LOW,4945,148342,HIGH
Store_Bengaluru,Doll,54,18,39607,15.0,8.0,167.0,0,82,516,3.0,3634,CRITICAL,3634,516,Toys,Supplier_05,8.0,0.8599999999999999,0.06,71,177750,175834,0.9892208157524612,86.0,6.0,98.92,14.92,MEDIUM,4945,148342,HIGH
Store_Bengaluru,Badminton Set,58,19,42093,35.0,8.0,144.0,58,88,549,7.0,2452,CRITICAL,2452,491,Sports,Supplier_06,8.0,0.88,0.02,127,316265,311411,0.9846521113623068,88.0,2.0,98.47,8.26,LOW,4945,148342,HIGH
Store_Hyderabad,Tablet,57,19,41917,400.0,7.0,122.0,0,85,486,80.0,724,CRITICAL,724,486,Electronics,Supplier_08,7.0,0.91,0.03,59,228630,225032,0.9842627826619428,91.0,3.0,98.43,8.57,LOW,4945,148342,HIGH
Store_Pune,Dinner Set,50,17,36884,50.0,8.0,136.0,0,79,483,10.0,1921,CRITICAL,1921,483,Home & Kitchen,Supplier_05,8.0,0.8599999999999999,0.06,71,177750,175834,0.9892208157524612,86.0,6.0,98.92,14.92,MEDIUM,4945,148342,HIGH
Store_Bengaluru,Smartwatch,53,17,38607,250.0,7.0,197.0,0,73,443,50.0,879,CRITICAL,879,443,Electronics,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,HIGH
Store_Hyderabad,Pressure Cooker,52,18,38222,45.0,7.0,187.0,0,77,443,9.0,2061,CRITICAL,2061,443,Home & Kitchen,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,HIGH
Store_Mumbai,Cooking Oil,46,15,33452,12.0,8.0,188.0,0,71,438,2.4000000000000004,3733,CRITICAL,3733,438,Groceries,Supplier_06,8.0,0.88,0.02,127,316265,311411,0.9846521113623068,88.0,2.0,98.47,8.26,LOW,4945,148342,HIGH
Store_Delhi,Yoga Mat,41,14,29993,30.0,9.0,177.0,0,67,436,6.0,2236,CRITICAL,2236,436,Sports,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,HIGH
Store_Pune,Cricket Bat,37,12,26921,60.0,10.0,167.0,0,63,431,12.0,1498,CRITICAL,1498,431,Sports,Supplier_02,10.0,0.93,0.02,33,172946,170579,0.9863136470343344,93.0,2.0,98.63,6.21,LOW,4945,148342,HIGH
