date,demand,units_sold,lost_sales,revenue
2023-01-01,5002,5002,0,555880.3
2023-01-02,3937,3937,0,430325.65
2023-01-03,3824,3824,0,425508.75
2023-01-04,3804,3804,0,417661.2
2023-01-05,3835,3835,0,414235.85
2023-01-06,3873,3873,0,433948.7
2023-01-07,5078,5078,0,529914.4
2023-01-08,5128,5080,48,546938.1
2023-01-09,3933,3631,302,408339.9
2023-01-10,3785,3410,375,371146.65
2023-01-11,3842,3346,496,368412.15
2023-01-12,3907,3245,662,333716.05
2023-01-13,3906,3243,663,351360.3
2023-01-14,5032,3986,1046,450869.65
2023-01-15,5188,3807,1381,358249.35
2023-01-16,3868,2704,1164,323037.7
2023-01-17,3806,2916,890,339185.9
2023-01-18,3832,3052,780,336007.55
2023-01-19,4027,3204,823,361450.6
2023-01-20,3809,3086,723,354594.65
2023-01-21,5221,4108,1113,465836.2
2023-01-22,5213,4385,828,525438.75
2023-01-23,3836,3284,552,414285.2
2023-01-24,3892,3335,557,386429.8
2023-01-25,3979,3426,553,390091.25
2023-01-26,3902,3309,593,390587.65
2023-01-27,3885,3143,742,339230.65
2023-01-28,5162,4014,1148,429962.8
2023-01-29,5043,4026,1017,424709.4
2023-01-30,3907,3033,874,342025.05
2023-01-31,3838,3057,781,353013.25
2023-02-01,3146,2511,635,308833.35
2023-02-02,3214,2628,586,320910.85
2023-02-03,3215,2713,502,317472.65
2023-02-04,4159,3647,512,428768.55
2023-02-05,4156,3718,438,400052.0
2023-02-06,3292,2845,447,360867.9
2023-02-07,3193,2689,504,309678.5
2023-02-08,3246,2811,435,293370.25
2023-02-09,3172,2770,402,314224.85
2023-02-10,3178,2823,355,313190.85
2023-02-11,4381,3798,583,429171.55
2023-02-12,4230,3598,632,412232.4
2023-02-13,3137,2665,472,273766.15
2023-02-14,3229,2910,319,321223.4
2023-02-15,3269,2923,346,316852.65
2023-02-16,3178,2766,412,299825.25
2023-02-17,3262,2778,484,282046.55
2023-02-18,4238,3688,550,359735.2
2023-02-19,4240,3648,592,436158.85
2023-02-20,3096,2667,429,304271.2
2023-02-21,3163,2653,510,321885.0
2023-02-22,3202,2709,493,322357.75
2023-02-23,3286,2697,589,308153.4
2023-02-24,3195,2727,468,311328.75
2023-02-25,4271,3560,711,368903.1
2023-02-26,4128,3688,440,409449.3
2023-02-27,3101,2790,311,321151.8
2023-02-28,3239,3082,157,320681.6
