store,product,average_daily_demand,demand_std,annual_demand,unit_price,lead_time_days,reorder_point_existing,current_stock,safety_stock,calculated_rop,holding_cost_per_unit,eoq,inventory_status,recommended_order_qty,shortage_to_rop
Store_Mumbai,RC Car,60,20,44064,55.0,9.0,169.0,0,100,642,11.0,2001,CRITICAL,2001,642
Store_Bengaluru,Headphones,48,16,35325,150.0,10.0,136.0,0,82,565,30.0,1085,CRITICAL,1085,565
Store_Hyderabad,Water Bottle,52,17,38073,10.0,9.0,189.0,0,82,551,2.0,4363,CRITICAL,4363,551
Store_Mumbai,Instant Noodles,64,20,46505,3.0,7.0,184.0,0,85,530,0.6000000000000001,8804,CRITICAL,8804,530
Store_Bengaluru,Cricket Bat,44,15,32302,60.0,10.0,144.0,0,76,518,12.0,1641,CRITICAL,1641,518
Store_Bengaluru,Doll,54,18,39607,15.0,8.0,167.0,0,82,516,3.0,3634,CRITICAL,3634,516
Store_Bengaluru,Badminton Set,58,19,42093,35.0,8.0,144.0,58,88,549,7.0,2452,CRITICAL,2452,491
Store_Hyderabad,Tablet,57,19,41917,400.0,7.0,122.0,0,85,486,80.0,724,CRITICAL,724,486
Store_Pune,Dinner Set,50,17,36884,50.0,8.0,136.0,0,79,483,10.0,1921,CRITICAL,1921,483
Store_Bengaluru,Smartwatch,53,17,38607,250.0,7.0,197.0,0,73,443,50.0,879,CRITICAL,879,443
Store_Hyderabad,Pressure Cooker,52,18,38222,45.0,7.0,187.0,0,77,443,9.0,2061,CRITICAL,2061,443
Store_Mumbai,Cooking Oil,46,15,33452,12.0,8.0,188.0,0,71,438,2.4000000000000004,3733,CRITICAL,3733,438
Store_Delhi,Yoga Mat,41,14,29993,30.0,9.0,177.0,0,67,436,6.0,2236,CRITICAL,2236,436
Store_Pune,Cricket Bat,37,12,26921,60.0,10.0,167.0,0,63,431,12.0,1498,CRITICAL,1498,431
Store_Bengaluru,RC Car,40,13,29395,55.0,9.0,148.0,0,66,428,11.0,1635,CRITICAL,1635,428
Store_Bengaluru,Jeans,48,17,35351,60.0,7.0,139.0,0,75,414,12.0,1716,CRITICAL,1716,414
Store_Delhi,Jeans,48,16,34946,60.0,7.0,121.0,0,68,403,12.0,1707,CRITICAL,1707,403
