date,store,category,product,supplier,unit_price,discount_pct,sell_price,demand,units_sold,lost_sales,revenue,opening_stock,closing_stock,reorder_point,reorder_qty,reordered,ordered_qty,received_qty,stockout,promo_event,lead_time_days,on_time_rate,defect_rate,supplier_delay
2023-01-01,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,71,71,0,2485.0,731,660,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-02,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,10,31.5,67,67,0,2110.5,660,593,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-03,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,48,48,0,1680.0,593,545,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-04,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,43,43,0,1505.0,545,502,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-05,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,36,36,0,1260.0,502,466,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-06,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,49,49,0,1715.0,466,417,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-07,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,20,28.0,71,71,0,1988.0,417,346,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-08,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,15,29.75,66,66,0,1963.5,346,280,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-09,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,53,53,0,1762.25,280,227,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-10,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,60,60,0,2100.0,227,167,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-11,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,42,42,0,1470.0,167,125,144,325,1,325,0,0,0,8,0.88,0.02,0
2023-01-12,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,36,36,0,1260.0,125,89,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-13,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,0,35.0,25,25,0,875.0,89,64,144,325,0,0,0,0,0,8,0.88,0.02,0
2023-01-14,Store_Bengaluru,Sports,Badminton Set,Supplier_06,35,5,33.25,63,63,0,2094.75,64,1,144,325,0,0,0,0,0,8,0.88,0.02,0
